1:06:00:01:00,9,0
1:06:00:02:00,9,20
1:06:00:17:00,0,20
1:06:00:20:00,20,0
1:06:00:32:00,13,18
1:06:00:52:00,13,18
1:06:01:02:00,13,18
1:06:01:15:00,13,18
1:06:04:38:00,18,13
1:06:04:42:00,18,13
1:06:04:45:00,18,9
1:06:04:49:00,18,9
1:06:04:52:00,18,13
1:06:04:55:00,18,13
1:06:04:58:00,18,13
1:06:05:00:00,18,0
1:06:05:01:00,18,9
1:06:05:04:00,5,0
1:06:05:05:00,18,9
1:06:05:08:00,18,13
1:06:05:11:00,18,13
1:06:05:12:00,20,0
1:06:05:17:00,0,20
1:06:05:27:00,20,0
1:06:05:32:00,0,20
1:06:05:40:00,18,0
1:06:05:42:00,20,0
1:06:05:47:00,0,20
1:06:05:50:00,18,9
1:06:05:52:00,18,0
1:06:05:57:00,18,13
1:06:05:57:00,20,0
1:06:06:02:00,0,20
1:06:06:02:00,18,13
1:06:06:06:00,18,9
1:06:06:07:00,18,0
1:06:06:08:00,18,13
1:06:06:09:00,18,13
1:06:06:11:00,18,9
1:06:06:12:00,20,0
1:06:06:13:00,18,13
1:06:06:17:00,0,20
1:06:06:17:00,18,13
1:06:06:20:00,5,20
1:06:06:21:00,18,9
1:06:06:22:00,20,0
1:06:06:23:00,18,13
1:06:06:26:00,0,20
1:06:06:28:00,20,0
1:06:06:33:00,0,20
1:06:06:34:00,20,0
1:06:06:39:00,0,20
1:06:06:40:00,20,0
1:06:06:45:00,0,20
1:06:06:46:00,20,0
1:06:06:51:00,0,20
1:06:06:52:00,20,0
1:06:06:57:00,0,20
1:06:06:58:00,20,0
1:06:07:03:00,0,20
1:06:07:03:00,18,13
1:06:07:03:00,20,0
1:06:07:09:00,0,20
1:06:07:10:00,20,0
1:06:07:15:00,0,20
1:06:07:16:00,20,0
1:06:07:21:00,0,20
1:06:07:22:00,20,0
1:06:07:27:00,0,20
1:06:07:28:00,20,0
1:06:07:33:00,0,20
1:06:07:34:00,20,0
1:06:07:39:00,0,20
1:06:07:40:00,20,0
1:06:07:46:00,0,20
1:06:07:47:00,20,0
1:06:07:54:00,20,0
1:06:08:01:00,20,0
1:06:08:08:00,20,0
1:06:08:12:00,13,18
1:06:08:15:00,20,0
1:06:08:22:00,20,0
1:06:08:29:00,20,0
1:06:08:36:00,20,0
1:06:08:43:00,20,0
1:06:08:50:00,20,0
1:06:08:53:00,0,20
1:06:08:57:00,20,0
1:06:19:00:00,0,20
1:06:19:00:00,20,0
1:06:19:07:00,0,20
1:06:19:08:00,20,0
1:06:19:15:00,0,20
1:06:19:16:00,20,0
1:06:19:23:00,0,20
1:06:19:24:00,20,0
1:06:19:31:00,0,20
1:06:19:32:00,20,0
1:06:19:38:00,0,20
1:06:19:41:00,20,0
1:06:19:46:00,0,20
1:06:19:48:00,13,18
1:06:19:51:00,20,0
1:06:19:53:00,0,20
1:06:20:01:00,0,20
1:06:20:01:00,20,0
1:06:20:02:00,13,18
1:06:20:08:00,0,20
1:06:20:12:00,20,0
1:06:20:16:00,0,20
1:06:20:17:00,13,18
1:06:20:23:00,13,18
1:06:20:24:00,0,20
1:06:20:27:00,20,0
1:06:20:34:00,0,20
1:06:20:42:00,13,18
1:06:20:42:00,20,0
1:06:20:47:00,0,20
1:06:20:57:00,20,0
1:06:21:02:00,0,20
1:06:21:12:00,0,13
1:06:21:12:00,20,0
1:06:21:17:00,0,20
1:06:21:18:00,0,18
1:06:21:27:00,20,0
1:06:21:32:00,0,20
1:06:21:42:00,20,0
1:06:21:47:00,0,20
1:06:21:57:00,20,0
1:06:22:02:00,0,20
1:06:22:02:00,13,18
1:06:22:12:00,20,0
1:06:22:17:00,0,20
1:06:22:20:00,13,18
1:06:22:31:00,0,18
1:06:22:38:00,13,18
1:06:22:42:00,20,0
1:06:22:44:00,9,5
1:06:22:47:00,0,20
1:06:23:12:00,20,0
1:06:23:17:00,0,20
1:06:23:42:00,20,9
1:06:23:47:00,0,9
